ID,SKU,Nombre,"Precio rebajado","Precio normal",Categorías,Etiquetas
6444,A-6314,"DISCO VENTILADO BREMBO",521,592,"Automotriz, Automotriz > Frenos","BREMBO, CHEROKEE, DELANTERO, DISCO, JEEP, VENTILADO, WRANGLER"
6446,A-6146,"DISCO VENTILADO BREMBO",915,1039,"Automotriz, Automotriz > Frenos","DELANTERO, DISCO, GRAND CHEROKEE, JEEP COMMANDER, VENTILADO"
6448,A-I1215,"DISCO VENTILADO BREMBO",355,404,"Automotriz, Automotriz > Frenos","DELANTERO, DISCO, MAZDA, VENTILADO"
6449,A-5949,"DISCO VENTILADO BREMBO",744,845,"Automotriz, Automotriz > Frenos","DELANTERO, DISCO, MERCEDES BENZ, VENTILADO"
6451,A-5996,"DISCO VENTILADO BREMBO",511,581,"Automotriz, Automotriz > Frenos","BREMBO, DISCO, VENTILADO"
6453,A-6038,"DISCO VENTILADO BREMBO",671,763,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, MERCEDES BENZ, SPRINTER, VENTILADO"
6455,A-5905,"DISCO VENTILADO BREMBO",329,374,"Automotriz, Automotriz > Frenos","ALMERA, BREMBO, DELANTERO, DISCO, NISSAN, VENTILADO"
6457,A-5904,"DISCO VENTILADO BREMBO",589,670,"Automotriz, Automotriz > Frenos","ALMERA, BREMBO, DELANTERO, DISCO, NISSA, SPORT, VENTILADO"
6459,A-6074,"DISCO VENTILADO BREMBO",492,559,"Automotriz, Automotriz > Frenos","ALTIMA, BREMBO, DELANTERO, DISCO, MAXIMA, NISSAN, VENTILADO"
6461,A-I1233,"DISCO VENTILADO BREMBO",614,698,"Automotriz, Automotriz > Frenos","ALTIMA, BREMBO, DELANTERO, DISCO, NISSAN, VENTILADO"
6462,A-5214,"DISCO VENTILADO BREMBO",384,436,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, NISSAN, SENTRA, VENTILADO"
6464,A-5828,"DISCO VENTILADO BREMBO",428,486,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, NISSAN, PATHFINDER, VENTILADO"
6466,A-6047,"DISCO VENTILADO BREMBO",632,719,"Automotriz, Automotriz > Frenos","ARMADA, BREMBO, DELANTERO, DISCO, NISSAN, PATHFINDER, VENTILADO"
6468,A-4935,"DISCO VENTILADO BREMBO",550,625,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, ESTAQUITAS, NISSAN, PICK UP, VENTILADO"
6470,A-4953,"DISCO VENTILADO BREMBO",476,541,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, NISSAN, PICK UP, USA, VENTILADO"
6471,A-5908,"DISCO VENTILADO BREMBO",377,429,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, NISSAN, QUEST, VENTILADO"
6473,A-5714,"DISCO VENTILADO BREMBO",589,669,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, INFINITY, NISSAN, SENTRA, VENTILADO"
6475,A-4736,"DISCO SOLIDO BREMBO",403,458,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, NISSAN, SOLIDO, Tsuru"
6477,A-5248,"DISCO VENTILADO BREMBO",393,447,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, NISSAN, Tsuru, VENTILADO"
6479,A-4005,"DISCO SOLIDO BREMBO",307,349,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, NISSAN, SAMURAI, Tsuru"
6481,A-5936,"DISCO VENTILADO BREMBO",534,607,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, NISSAN, Urvan, VENTILADO"
6483,A-6025,"DISCO VENTILADO BREMBO",695,789,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, NISSAN, Urvan, VENTILADO"
6485,A-6079,"DISCO VENTILADO BREMBO",706,802,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, NISSAN, VENTILADO, XTRAIL"
6487,A-5909,"DISCO SOLIDO BREMBO",465,528,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, PEUGEOT, SOLIDO"
6489,A-5910,"DISCO VENTILADO BREMBO",348,396,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, PEUGEOT, VENTILADO"
6491,A-5952,"DISCO VENTILADO BREMBO",495,562,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, MONNLIGHT, PUEGEOT, VENTILADO"
6493,A-5956,"DISCO VENTILADO BREMBO",867,985,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, PEUGEOT, VENTILADO"
6495,A-5960,"DISCO VENTILADO BREMBO",1279,1453,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, PEUGEOT, VENTILADO"
6497,A-5962,"DISCO VENTILADO BREMBO",540,614,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, FURGONPACK, PARTHNER, PEUGEOT, VENTILADO"
6499,09A18511,"DISCO VENTILADO BREMBO",899,1021,"Automotriz, Automotriz > Frenos","BREMBO, CITROEN, DISCO, PEUGEOT, VENTILADO"
6501,A-6935,"DISCO VENTILADO BREMBO",759,863,"Automotriz, Automotriz > Frenos","AVALANCHE, BREMBO, CHEVROLET, DISCO, ESCALADE, SUBURBAN, TAHOE, TRASERO, VENTILADO"
6503,A-6122,"DISCO VENTILADO BREMBO",788,986,"Automotriz, Automotriz > Frenos","BREMBO, CRAFTER, DISCO, DOBLE RODADA, MERCEDES BENZ, SPRINTER, TRASERO, VENTILADO"
6504,A-6810,"DISCO VENTILADO BREMBO",613,697,"Automotriz, Automotriz > Frenos","BREMBO, DISCO, INFINITY, MISSAN, ROGUE, TRASERO, VENTILADO, XTRAIL"
6506,A-7401,"DISCO VENTILADO BREMBO",925,1051,"Automotriz, Automotriz > Frenos","BREMBO, DISCO, FORD, TRANSIT, TRASERO, VENTILADO"
6508,A-5115,"ROTOR DELANTERO BREMBO",954,1085,"Automotriz, Automotriz > Frenos","ASTROVAN, BREMBO, DELANTERO, ROTOR"
6510,A-6026,"ROTOR DELANTERO BREMBO",613,697,"Automotriz, Automotriz > Frenos","BREMBO, DATSUN, DELANTERO, NISSAN, ROTOR, SAKURAN SAMURAI"
6512,A-6003,"ROTOR DELANTERO BREMBO",2276,2586,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, FORD, INTEGRAL, ROTOR, TRITON"
6514,A-5788,"ROTOR TRASERO BREMBO",763,867,"Automotriz, Automotriz > Frenos","BREMBO, FORD, LOBO, PICK UP, ROTOR, TRASERO"
6516,A-5811,"ROTOR TRASERO BREMBO",932,1059,"Automotriz, Automotriz > Frenos","BREMBO, ROTOR, SIERRA, SILVERADO, TRASERO"
6518,14938410,"TAMBOR FRENO BREMBO",492,560,"Automotriz, Automotriz > Frenos","BREMBO, CHERY, FRENO, LUPO, POLO, SEAT, TAMBOR"
6520,A-2610ST,"TAMBOR FRENO DELANTERO BREMBO",690,784,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, FRENO, SEDAN, TAMBOR"
6522,A-7455,"TAMBOR FRENO TRASERO BREMBO",759,863,"Automotriz, Automotriz > Frenos","BREMBO, CROSS FOX, TAMBOR, TRASERO"
6523,A-6087,"TAMBOR FRENO TRASERO BREMBO",414,471,"Automotriz, Automotriz > Frenos","ATOS, BREMBO, TAMBOR, TRASERO"
6524,A-6083,"TAMBOR FRENO TRASERO BREMBO",535,608,"Automotriz, Automotriz > Frenos","ATOS, BREMBO, HYUNDAI, TAMBOR, TRASERO"
6526,A-6043,"TAMBOR FRENO TRASERO BREMBO",737,838,"Automotriz, Automotriz > Frenos","BREMBO, JEEP, LIBERTY, TAMBOR, TRASERO"
